ticker,name,market,locale,primary_exchange,type,active,currency_name,cik,composite_figi,share_class_figi,last_updated_utc
ALTY,Global X Funds Global X Alternative Income ETF,stocks,us,XNAS,ETF,True,usd,0001432353,BBG009L6H4R7,BBG009L6H4S6,2022-05-09T00:00:00Z
ALV,"Autoliv, Inc.",stocks,us,XNYS,CS,True,usd,0001034670,BBG000BVLRY8,BBG001S9YRV6,2022-05-09T00:00:00Z
ALVR,"AlloVir, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001754068,BBG00P80SH34,BBG00P80SH43,2022-05-09T00:00:00Z
ALX,Alexander's Inc.,stocks,us,XNYS,CS,True,usd,0000003499,BBG000BBNLK8,BBG001S5NM92,2022-05-09T00:00:00Z
ALXO,ALX Oncology Holdings Inc. Common Stock,stocks,us,XNAS,CS,True,usd,0001810182,BBG00VR8SDG8,BBG00VR8SF73,2022-05-09T00:00:00Z
ALYA,Alithya Group inc. Class A Subordinate Voting Shares,stocks,us,XNAS,CS,True,usd,0001734520,BBG00MFNPFZ5,BBG00MFNPGQ3,2022-05-09T00:00:00Z
ALZN,"Alzamend Neuro, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001677077,BBG00ZMXG7M8,BBG00ZMXG7N7,2022-05-09T00:00:00Z
ALpA,"Air Lease Corporation 6.150% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series",stocks,us,XNYS,PFD,True,usd,0001487712,,,2022-05-09T00:00:00Z
AM,Antero Midstream Corporation Common Stock,stocks,us,XNYS,CS,True,usd,0001623925,BBG00GBNZ4M0,BBG00GBNZ4N9,2022-05-09T00:00:00Z
AMAL,Amalgamated Financial Corp. Common Stock (DE),stocks,us,XNAS,CS,True,usd,0001823608,BBG00XRT7YX6,BBG00XRT7YY5,2022-05-09T00:00:00Z
AMAM,Ambrx Biopharma Inc. American Depositary Shares (each representing seven Ordinary Shares),stocks,us,XNYS,ADRC,True,usd,0001836056,BBG0118LMRT6,BBG0118LMSN0,2022-05-09T00:00:00Z
AMAO,American Acquisition Opportunity Inc. Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001843656,BBG00Z69M9L9,BBG00Z69M9M8,2022-05-09T00:00:00Z
AMAOU,American Acquisition Opportunity Inc. Units,stocks,us,XNAS,UNIT,True,usd,0001843656,BBG00Z5ZDVD2,BBG00Z5ZDVF0,2022-05-09T00:00:00Z
AMAOW,American Acquisition Opportunity Inc. Warrant,stocks,us,XNAS,WARRANT,True,usd,0001843656,BBG010HFCYX2,,2022-05-09T00:00:00Z
AMAT,Applied Materials Inc,stocks,us,XNAS,CS,True,usd,0000006951,BBG000BBPFB9,BBG001S5NMM7,2022-05-09T00:00:00Z
AMAX,RH Hedged Multi-Asset Income ETF,stocks,us,ARCX,ETF,True,usd,,BBG0133TN2R6,BBG0133TN3L0,2022-05-09T00:00:00Z
AMBA,"Ambarella, Inc. Ordinary Shares",stocks,us,XNAS,CS,True,usd,0001280263,,,2022-05-09T00:00:00Z
AMBC,"Ambac Financial Group, Inc.",stocks,us,XNYS,CS,True,usd,0000874501,BBG004HQHKK0,BBG004HQHL91,2022-05-09T00:00:00Z
AMBC.WS,"Ambac Financial Group, Inc.",stocks,us,XNYS,WARRANT,True,usd,0000874501,BBG004HQD8L0,,2022-05-09T00:00:00Z
AMBO,"Ambow Education Holding Ltd. American Depository Shares, each representing two Class A ordinary shar",stocks,us,XASE,ADRC,True,usd,0001494558,BBG000BDCP09,BBG001T99B02,2022-05-09T00:00:00Z
AMBP,Ardagh Metal Packaging S.A.,stocks,us,XNYS,CS,True,usd,0001845097,,,2022-05-09T00:00:00Z
AMBP.WS,"Ardagh Metal Packaging S.A. Warrants, each exercisable for one Share at an exercise price of $11.50",stocks,us,XNYS,WARRANT,True,usd,0001845097,,,2022-05-09T00:00:00Z
AMC,"AMC ENTERTAINMENT HOLDINGS, INC.",stocks,us,XNYS,CS,True,usd,0001411579,BBG000TDCVT6,BBG001SZYYL4,2022-05-09T00:00:00Z
AMCI,AMCI Acquisition Corp. II Class A Common Stock,stocks,us,XNAS,CS,True,usd,0001843724,BBG00ZCX69R1,BBG00ZCX6BL2,2022-05-09T00:00:00Z
AMCIU,AMCI Acquisition Corp. II Units,stocks,us,XNAS,UNIT,True,usd,0001843724,BBG00Z8MTT91,BBG00Z8MTTC7,2022-05-09T00:00:00Z
AMCIW,AMCI Acquisition Corp. II Warrant,stocks,us,XNAS,WARRANT,True,usd,0001843724,BBG00ZSKRK12,,2022-05-09T00:00:00Z
AMCR,Amcor plc Ordinary Shares,stocks,us,XNYS,CS,True,usd,0001748790,,,2022-05-09T00:00:00Z
AMCX,AMC Networks Inc. Class A,stocks,us,XNAS,CS,True,usd,0001514991,BBG000H01H92,BBG001SLR8S3,2022-05-09T00:00:00Z
AMD,Advanced Micro Devices,stocks,us,XNAS,CS,True,usd,0000002488,BBG000BBQCY0,BBG001S5NN36,2022-05-09T00:00:00Z
AME,"Ametek, Inc.",stocks,us,XNYS,CS,True,usd,0001037868,BBG000B9XG87,BBG001S5NN54,2022-05-09T00:00:00Z
AMED,Amedisys Inc,stocks,us,XNAS,CS,True,usd,0000896262,BBG000B9ZV28,BBG001S5NN72,2022-05-09T00:00:00Z
AMEH,"Apollo Medical Holdings, Inc. Common Stock",stocks,us,XNAS,CS,True,usd,0001083446,BBG000H7ZK57,BBG001S96MS2,2022-05-09T00:00:00Z
AMER,Emles Made in America ETF,stocks,us,BATS,ETF,True,usd,,BBG00XV4DDY4,BBG00XV4DFS6,2022-05-09T00:00:00Z
AMG,Affiliated Managers Group,stocks,us,XNYS,CS,True,usd,0001004434,BBG000C060M4,BBG001S6DMD6,2022-05-09T00:00:00Z
AMGN,Amgen Inc,stocks,us,XNAS,CS,True,usd,0000318154,BBG000BBS2Y0,BBG001S5NNL6,2022-05-09T00:00:00Z
